po_id,material_id,vendor_id,order_date,delivery_date,quantity,is_delivery_date_given,lead_time,is_po_qty_given
PO100000,M0159,V043,2025-02-26,2025-04-12,371,Yes,45.0,Yes
PO100001,M0038,V038,2025-12-28,2026-01-09,313,Yes,12.0,Yes
PO100002,M0074,V014,2025-06-08,2025-06-14,485,Yes,6.0,Yes
PO100003,M0004,V038,2025-04-20,2025-06-11,328,Yes,52.0,Yes
PO100004,M0088,V001,2025-01-21,2025-02-12,7,Yes,22.0,Yes
PO100005,M0178,V034,2025-01-21,2025-02-10,206,Yes,20.0,Yes
PO100006,M0029,V050,2025-01-08,2025-01-27,440,Yes,19.0,Yes
PO100007,M0079,V037,2025-08-30,2025-09-12,375,Yes,13.0,Yes
PO100008,M0116,V012,2025-04-21,2025-06-12,451,Yes,52.0,Yes
PO100009,M0121,V027,2025-05-28,2025-06-08,114,Yes,11.0,Yes
PO100010,M0006,V005,2025-01-03,2025-02-20,272,Yes,48.0,Yes
PO100011,M0085,V016,2026-02-25,2026-04-01,83,No,,Yes
PO100012,M0054,V050,2025-08-03,2025-09-11,179,Yes,39.0,Yes
PO100013,M0190,V032,2025-01-29,2025-02-08,210,Yes,10.0,Yes
PO100014,M0138,V044,2025-01-25,2025-03-08,464,Yes,42.0,Yes
PO100015,M0055,V007,2025-01-25,2025-02-26,328,Yes,32.0,Yes
PO100016,M0053,V022,2025-02-13,2025-02-20,124,Yes,7.0,Yes
PO100017,M0140,V002,2025-03-31,2025-04-06,481,Yes,6.0,Yes
PO100018,M0134,V019,2025-03-09,2025-03-19,113,Yes,10.0,Yes
PO100019,M0193,V044,2025-02-11,2025-03-01,12,Yes,18.0,Yes
PO100020,M0067,V044,2025-04-24,2025-05-13,126,Yes,19.0,Yes
PO100021,M0141,V008,2025-01-19,2025-02-25,53,Yes,37.0,Yes
PO100022,M0124,V026,2025-02-11,2025-03-26,331,Yes,43.0,Yes
PO100023,M0160,V024,2025-02-24,2025-03-02,389,Yes,6.0,Yes
PO100024,M0187,V038,2025-03-15,2025-04-24,283,Yes,40.0,Yes
PO100025,M0037,V007,2025-07-04,2025-07-21,140,Yes,17.0,Yes
PO100026,M0178,V021,2025-01-27,2025-03-18,401,Yes,50.0,Yes
PO100027,M0179,V010,2025-03-28,2025-05-13,390,Yes,46.0,Yes
