shipment_id,po_id,actual_delivery_date,shipment_quantity,carrier,is_shipments_qty_given
S500000,PO102040,2025-09-11,0.0,Rail,No
S500001,PO102803,2026-02-14,244.0,Local,Yes
S500002,PO100273,2025-12-03,324.0,FedEx,Yes
S500003,PO100955,2025-05-04,128.0,Local,Yes
S500004,PO102647,2025-05-10,93.0,UPS,Yes
S500005,PO101779,2025-10-06,300.0,FedEx,Yes
S500006,PO100380,2025-02-21,133.0,Rail,Yes
S500007,PO101352,2025-05-09,55.0,FedEx,Yes
S500008,PO100478,2026-03-11,158.0,Rail,Yes
S500009,PO102062,2025-08-23,29.0,UPS,Yes
S500010,PO100515,2025-02-09,211.0,Rail,Yes
S500011,PO100190,2025-02-04,154.0,Local,Yes
S500012,PO101191,2025-06-19,293.0,DHL,Yes
S500013,PO102668,2025-07-15,222.0,Local,Yes
S500014,PO101160,2025-09-05,115.0,Sea,Yes
S500015,PO102201,2025-01-22,0.0,Local,No
S500016,PO101411,2025-03-02,259.0,FedEx,Yes
S500017,PO100271,2025-08-18,251.0,UPS,Yes
S500018,PO100142,2025-04-18,122.0,Sea,Yes
S500019,PO101912,2026-12-29,299.0,Sea,Yes
S500020,PO101092,2025-06-02,263.0,Sea,Yes
S500021,PO102294,2025-02-21,381.0,DHL,Yes
S500022,PO100787,2025-03-25,49.0,Rail,Yes
S500023,PO102126,2025-06-09,377.0,FedEx,Yes
S500024,PO101681,2026-05-28,329.0,UPS,Yes
S500025,PO100622,2025-04-06,297.0,DHL,Yes
S500026,PO102572,2025-04-13,362.0,Local,Yes
S500027,PO102819,2025-03-17,77.0,UPS,Yes
S500028,PO100937,2025-12-09,127.0,Sea,Yes
S500029,PO101118,2025-03-04,197.0,UPS,Yes
S500030,PO100616,2025-03-11,221.0,UPS,Yes
S500031,PO101031,2025-05-21,91.0,Local,Yes
S500032,PO100066,2025-03-05,8.0,Rail,Yes
S500033,PO100190,2025-02-27,32.0,FedEx,Yes
S500034,PO102815,2025-08-27,320.0,Sea,Yes
S500035,PO100520,2025-04-21,394.0,Rail,Yes
S500036,PO100989,2025-09-09,269.0,DHL,Yes
S500037,PO101140,2025-08-15,191.0,Sea,Yes
S500038,PO102314,2026-09-02,349.0,FedEx,Yes
S500039,PO101634,2025-12-15,163.0,DHL,Yes
S500040,PO102532,2025-03-06,61.0,Local,Yes
S500041,PO101187,2025-02-06,264.0,Rail,Yes
S500042,PO100375,2025-05-02,285.0,Sea,Yes
S500043,PO100652,2025-05-29,95.0,UPS,Yes
S500044,PO100548,2025-05-21,41.0,FedEx,Yes
S500045,PO101097,2025-02-25,149.0,Sea,Yes
S500046,PO100072,2025-01-30,204.0,UPS,Yes
S500047,PO102355,2025-02-22,267.0,Sea,Yes
S500048,PO100198,2025-11-19,2.0,DHL,Yes
S500049,PO101781,2025-11-19,178.0,UPS,Yes
S500050,PO100571,2025-09-10,194.0,UPS,Yes
S500051,PO100790,2025-02-06,387.0,Sea,Yes
S500052,PO101638,2026-09-09,336.0,Local,Yes
S500053,PO101831,2025-05-10,196.0,Local,Yes
S500054,PO101855,2025-03-07,343.0,Rail,Yes
S500055,PO101510,2025-08-19,249.0,DHL,Yes
S500056,PO101174,2025-06-12,212.0,Local,Yes
S500057,PO100178,2026-01-26,153.0,Sea,Yes
S500058,PO102244,2025-09-28,158.0,Local,Yes
S500059,PO100734,2025-04-15,362.0,Rail,Yes
S500060,PO102136,2025-03-18,139.0,FedEx,Yes
S500061,PO100798,2025-07-16,221.0,Rail,Yes
S500062,PO100787,2025-04-07,273.0,UPS,Yes
S500063,PO102795,2025-05-28,154.0,UPS,Yes
