shipment_id,po_id,actual_delivery_date,shipment_quantity,carrier
S500000,PO102040,11-09-2025,,Rail
S500001,PO102803,14-02-2026,244,Local
S500002,PO100273,03-12-2025,324,FedEx
S500003,PO100955,04-05-2025,128,Local
S500004,PO102647,10-05-2025,93,UPS
S500005,PO101779,06-10-2025,300,FedEx
S500006,PO100380,21-02-2025,133,Rail
S500007,PO101352,09-05-2025,55,FedEx
S500008,PO100478,11-03-2026,158,Rail
S500009,PO102062,23-08-2025,29,UPS
S500010,PO100515,09-02-2025,211,Rail
S500011,PO100190,04-02-2025,154,Local
S500012,PO101191,19-06-2025,293,DHL
S500013,PO102668,15-07-2025,222,Local
S500014,PO101160,05-09-2025,115,Sea
S500015,PO102201,22-01-2025,,Local
S500016,PO101411,02-03-2025,259,FedEx
S500017,PO100271,18-08-2025,251,UPS
S500018,PO100142,18-04-2025,122,Sea
S500019,PO101912,29-12-2026,299,Sea
S500020,PO101092,02-06-2025,263,Sea
S500021,PO102294,21-02-2025,381,DHL
S500022,PO100787,25-03-2025,49,Rail
S500023,PO102126,09-06-2025,377,FedEx
S500024,PO101681,28-05-2026,329,UPS
S500025,PO100622,06-04-2025,297,DHL
S500026,PO102572,13-04-2025,362,Local
S500027,PO102819,17-03-2025,77,UPS
S500028,PO100937,09-12-2025,127,Sea
S500029,PO101118,04-03-2025,197,UPS
S500030,PO100616,11-03-2025,221,UPS
S500031,PO101031,21-05-2025,91,Local
S500032,PO100066,05-03-2025,8,Rail
S500033,PO100190,27-02-2025,32,FedEx
S500034,PO102815,27-08-2025,320,Sea
S500035,PO100520,21-04-2025,394,Rail
S500036,PO100989,09-09-2025,269,DHL
S500037,PO101140,15-08-2025,191,Sea
S500038,PO102314,02-09-2026,349,FedEx
S500039,PO101634,15-12-2025,163,DHL
S500040,PO102532,06-03-2025,61,Local
S500041,PO101187,06-02-2025,264,Rail
S500042,PO100375,02-05-2025,285,Sea
S500043,PO100652,29-05-2025,95,UPS
S500044,PO100548,21-05-2025,41,FedEx
S500045,PO101097,25-02-2025,149,Sea
S500046,PO100072,30-01-2025,204,UPS
S500047,PO102355,22-02-2025,267,Sea
S500048,PO100198,19-11-2025,2,DHL
S500049,PO101781,19-11-2025,178,UPS
S500050,PO100571,10-09-2025,194,UPS
S500051,PO100790,06-02-2025,387,Sea
S500052,PO101638,09-09-2026,336,Local
S500053,PO101831,10-05-2025,196,Local
S500054,PO101855,07-03-2025,343,Rail
S500055,PO101510,19-08-2025,249,DHL
S500056,PO101174,12-06-2025,212,Local
S500057,PO100178,26-01-2026,153,Sea
S500058,PO102244,28-09-2025,158,Local
S500059,PO100734,15-04-2025,362,Rail
S500060,PO102136,18-03-2025,139,FedEx
S500061,PO100798,16-07-2025,221,Rail
S500062,PO100787,07-04-2025,273,UPS
S500063,PO102795,28-05-2025,154,UPS
S500064,PO100208,19-03-2025,249,Local
S500065,PO100492,06-04-2025,279,Local
S500066,PO102712,13-04-2025,,Rail
S500067,PO101657,28-02-2025,276,Rail
S500068,PO102918,01-04-2025,2,Sea
S500069,PO100731,13-09-2025,88,DHL
S500070,PO101129,28-03-2025,287,Sea
S500071,PO101605,28-04-2025,130,UPS
S500072,PO102745,22-08-2025,78,Sea
S500073,PO100593,26-03-2025,260,Rail
S500074,PO102933,21-05-2025,241,Sea
S500075,PO102899,23-02-2025,141,FedEx
S500076,PO101215,30-03-2025,228,DHL
S500077,PO100324,25-01-2026,163,Rail
S500078,PO100978,11-05-2025,236,Local
S500079,PO101749,02-02-2025,128,Sea
S500080,PO101850,29-03-2025,200,Rail
S500081,PO101490,31-03-2025,390,Local
S500082,PO100893,03-04-2025,31,Local
S500083,PO101390,07-04-2025,138,UPS
S500084,PO100143,27-02-2025,21,UPS
S500085,PO100383,20-10-2025,234,Rail
S500086,PO102263,05-04-2025,202,Rail
S500087,PO102371,09-10-2025,279,FedEx
S500088,PO100216,16-03-2025,131,DHL
S500089,PO101515,18-01-2025,148,DHL
S500090,PO102998,28-02-2025,29,Rail
S500091,PO102230,04-08-2025,361,UPS
S500092,PO102317,20-03-2025,308,Sea
S500093,PO102992,10-05-2025,371,FedEx
